_id,Tip imobil,Tip strada,Denumire strada,Zona,S utila,Pret tranzactie LEI,An constructie imobil,Perioada tranzactie
136,apartament,Alee,MOZAICULUI,pantelimon,42.68,318278,1977.0,2024-T1
137,apartament,Alee,MOZAICULUI,pantelimon,40.04,210000,1976.0,2024-T3
138,apartament,Alee,MOZAICULUI,pantelimon,56.96,383159,1978.0,2024-T1
139,apartament,Alee,MOZAICULUI,pantelimon,64.03,383175,1978.0,2024-T2
140,apartament,Alee,MOZAICULUI,pantelimon,57.7,331500,1977.0,2024-T2
141,apartament,Alee,MOZAICULUI,pantelimon,45.19,261430,1979.0,2024-T2
142,apartament,Alee,MOZAICULUI,pantelimon,56.71,314705,1978.0,2024-T2
143,apartament,Alee,MOZAICULUI,pantelimon,58.0,240200,1978.0,2024-T1
144,apartament,Alee,MOZAICULUI,pantelimon,41.51,135521,1977.0,2024-T1
145,apartament,Alee,OTESANI,tei,61.39,375000,1971.0,2024-T3
146,apartament,Alee,OTESANI,tei,62.3,400664,1972.0,2024-T3
147,apartament,Alee,PANTELIMON,pantelimon,15.52,124292,1977.0,2024-T4
148,apartament,Alee,PANTELIMON,pantelimon,24.9,190000,1970.0,2024-T4
149,apartament,Alee,PANTELIMON,pantelimon,25.6,109494,1970.0,2024-T3
150,apartament,Alee,PANTELIMON,pantelimon,15.38,92000,1977.0,2024-T1
151,apartament,Alee,PANTELIMON,pantelimon,15.42,89568,1970.0,2024-T1
152,apartament,Alee,PANTELIMON,pantelimon,26.45,149160,1977.0,2024-T4
153,apartament,Alee,PANTELIMON,pantelimon,26.46,159235,1965.0,2024-T4
154,apartament,Alee,PANTELIMON,pantelimon,26.21,146801,1968.0,2024-T2
155,apartament,Alee,PANTELIMON,pantelimon,26.4,159132,1975.0,2024-T3
156,apartament,Alee,PANTELIMON,colentina,23.78,130000,1975.0,2024-T2
157,apartament,Alee,PANTELIMON,pantelimon,15.94,99466,1974.0,2024-T4
158,apartament,Alee,PANTELIMON,pantelimon,15.6,98406,1968.0,2024-T3
159,apartament,Alee,PANTELIMON,pantelimon,16.11,63215,1994.0,2024-T1
160,apartament,Alee,PANTELIMON,pantelimon,27.59,154290,1968.0,2024-T4
161,apartament,Alee,PANTELIMON,pantelimon,27.7,139300,1968.0,2024-T4
162,apartament,Alee,PANTELIMON,pantelimon,15.93,91700,1977.0,2024-T1
163,apartament,Alee,PANTELIMON,colentina,27.71,156703,1969.0,2024-T4
164,apartament,Alee,PANTELIMON,colentina,27.76,159258,1969.0,2024-T2
165,apartament,Alee,PANTELIMON,colentina,16.61,100524,1975.0,2024-T2
166,apartament,Alee,PANTELIMON,colentina,17.6,114454,1967.0,2024-T2
167,apartament,Alee,PANTELIMON,colentina,16.3,104384,1974.0,2024-T1
168,apartament,Alee,PANTELIMON,colentina,15.97,99530,1974.0,2024-T2
169,apartament,Alee,PANTELIMON,pantelimon,16.06,97020,1974.0,2024-T2
170,apartament,Alee,PANTELIMON,pantelimon,15.62,109401,1977.0,2024-T3
171,apartament,Alee,PANTELIMON,pantelimon,16.01,141761,1972.0,2024-T3
172,apartament,Alee,PANTELIMON,pantelimon,16.28,109485,1972.0,2024-T2
173,apartament,Alee,PANTELIMON,pantelimon,27.21,169198,1973.0,2024-T3
174,apartament,Alee,PANTELIMON,pantelimon,15.3,111922,1965.0,2024-T3
175,apartament,Alee,PANTELIMON,pantelimon,15.6,79595,1969.0,2024-T4
176,apartament,Alee,PANTELIMON,pantelimon,15.95,99522,1979.0,2024-T4
177,apartament,Alee,PANTELIMON,pantelimon,14.2,119453,2000.0,2024-T3
178,apartament,Alee,PANTELIMON,pantelimon,14.54,59718,1972.0,2024-T2
179,apartament,Alee,PANTELIMON,pantelimon,14.83,84571,1967.0,2024-T2
180,apartament,Alee,PANTELIMON,pantelimon,14.84,84506,1974.0,2024-T3
181,apartament,Alee,PANTELIMON,pantelimon,14.42,95000,1968.0,2024-T3
182,apartament,Alee,PANTELIMON,pantelimon,14.48,133836,1973.0,2024-T2
183,apartament,Alee,PANTELIMON,pantelimon,14.64,106855,1970.0,2024-T4
184,apartament,Alee,PANTELIMON,pantelimon,14.76,90000,1976.0,2024-T1
185,apartament,Alee,PANTELIMON,pantelimon,14.73,97046,1970.0,2024-T2
186,apartament,Alee,PANTELIMON,pantelimon,14.74,77990,1975.0,2024-T1
188,apartament,Alee,PANTELIMON,pantelimon,26.27,175000,1978.0,2024-T1
189,apartament,Alee,PANTELIMON,pantelimon,15.45,115000,1975.0,2024-T2
190,apartament,Alee,PANTELIMON,pantelimon,15.61,114478,1950.0,2024-T4
191,apartament,Alee,PANTELIMON,pantelimon,26.21,164241,1969.0,2024-T2
192,apartament,Alee,PANTELIMON,pantelimon,27.39,99526,1970.0,2024-T2
193,apartament,Alee,PANTELIMON,pantelimon,27.09,174185,1970.0,2024-T3
194,apartament,Alee,PANTELIMON,pantelimon,16.12,99496,1969.0,2024-T4
195,apartament,Alee,PETRE ANTONESCU,tei,48.15,355834,1971.0,2024-T3
196,apartament,Alee,PETRE ANTONESCU,tei,48.35,250000,1982.0,2024-T3
197,apartament,Alee,PETRE ANTONESCU,tei,48.36,397920,1982.0,2024-T3
198,apartament,Alee,PETRE ANTONESCU,tei,65.9,429897,1986.0,2024-T1
199,apartament,Alee,PIATRA MARE,colentina,50.54,228303,1986.0,2024-T1
200,apartament,Alee,PIATRA MARE,colentina,54.68,375000,1985.0,2024-T2
201,apartament,Alee,PIATRA MARE,colentina,52.11,360600,1986.0,2024-T4
202,apartament,Alee,PIATRA MARE,colentina,51.91,352898,1986.0,2024-T3
203,apartament,Alee,PIATRA MARE,colentina,77.11,169879,1986.0,2024-T4
204,apartament,Alee,PIATRA MARE,colentina,50.62,342500,1986.0,2024-T1
205,apartament,Alee,PIATRA MARE,colentina,69.23,397960,1995.0,2024-T4
206,apartament,Alee,PIATRA MARE,colentina,49.96,427970,1992.0,2024-T2
207,apartament,Alee,PIATRA MARE,colentina,50.0,293472,1985.0,2024-T1
208,apartament,Alee,PIATRA MARE,colentina,53.63,405145,1985.0,2024-T3
210,apartament,Alee,SILISTEA,colentina,34.43,196394,1968.0,2024-T1
211,apartament,Alee,SILISTEA,colentina,14.58,89499,1997.0,2024-T4
212,apartament,Alee,SILISTEA,colentina,24.98,141747,1968.0,2024-T1
213,apartament,Alee,SILISTEA,colentina,14.97,104419,1986.785974,2024-T1
214,apartament,Alee,SILISTEA,colentina,35.14,109500,1970.0,2024-T2
215,apartament,Alee,SINAIA,colentina,60.5,323495,1975.0,2024-T3
216,apartament,Alee,SINAIA,colentina,60.2,195000,1964.0,2024-T3
217,apartament,Alee,SINAIA,colentina,61.8,259312,1975.0,2024-T4
218,apartament,Alee,SINAIA,colentina,59.42,512269,1976.0,2024-T4
219,apartament,Alee,SINAIA,colentina,34.87,233863,1976.0,2024-T2
220,apartament,Alee,SINAIA,colentina,41.01,222603,1973.0,2024-T2
221,apartament,Alee,SINAIA,colentina,41.8,262500,2015.0,2024-T3
222,apartament,Alee,SINAIA,colentina,35.54,248650,1976.0,2024-T1
223,apartament,Alee,SINAIA,colentina,62.11,343253,1979.0,2024-T2
224,apartament,Alee,SINAIA,colentina,35.23,308555,1977.0,2024-T2
225,apartament,Alee,SINAIA,colentina,35.79,249516,1977.0,2024-T1
226,apartament,Alee,SINAIA,colentina,43.5,320990,1976.0,2024-T1
227,apartament,Alee,SINAIA,colentina,50.31,338383,1976.0,2024-T2
228,apartament,Alee,SINAIA,colentina,60.89,380281,1975.0,2024-T3
229,apartament,Alee,SINAIA,colentina,61.67,373020,1976.0,2024-T3
230,apartament,Alee,SOCULUI,pantelimon,29.57,238882,1982.0,2024-T2
231,apartament,Alee,SOCULUI,pantelimon,51.27,447831,1981.0,2024-T4
232,apartament,Alee,TEIUL DOAMNEI,tei,40.99,347767,1974.0,2024-T2
233,apartament,Alee,TEIUL DOAMNEI,tei,34.91,288590,1975.0,2024-T2
234,apartament,Alee,TEIUL DOAMNEI,tei,35.3,265922,1975.0,2024-T2
235,apartament,Alee,TEIUL DOAMNEI,tei,64.5,368246,1976.0,2024-T2
236,apartament,Alee,TEIUL DOAMNEI,tei,35.49,313431,1977.0,2024-T2
237,apartament,Alee,TIBISCUM,colentina,74.21,408090,2008.0,2024-T2
238,apartament,Alee,VERGULUI,pantelimon,34.99,208929,1975.0,2024-T3
239,apartament,Alee,VERGULUI,pantelimon,73.5,440000,1974.0,2024-T3
240,apartament,Alee,VERGULUI,pantelimon,35.4,268744,1974.0,2024-T2
241,apartament,Alee,VERGULUI,pantelimon,35.72,226099,1974.0,2024-T2
242,apartament,Alee,VERGULUI,pantelimon,36.34,308518,1973.0,2024-T2
243,apartament,Alee,VERGULUI,pantelimon,48.76,313513,1973.0,2024-T3
244,apartament,Alee,VERGULUI,pantelimon,60.02,312878,1975.0,2024-T4
245,apartament,Alee,VERGULUI,pantelimon,80.32,353217,1975.0,2024-T4
246,apartament,Alee,VERGULUI,pantelimon,36.16,275000,1975.0,2024-T1
247,apartament,Alee,VERGULUI,pantelimon,40.8,288515,1973.0,2024-T4
248,apartament,Alee,VERGULUI,pantelimon,40.9,240000,1974.0,2024-T4
249,apartament,Alee,VERGULUI,pantelimon,41.39,272378,1974.0,2024-T3
250,apartament,Alee,VERGULUI,pantelimon,34.97,258752,1974.0,2024-T3
251,apartament,Alee,VERGULUI,pantelimon,36.1,268758,1979.0,2024-T1
252,apartament,Alee,ZARANDULUI,iancului,28.73,318393,1984.0,2024-T4
253,apartament,Alee,ZARANDULUI,iancului,46.32,375000,1983.0,2024-T3
254,apartament,Bulevard,BASARABIA,vatra luminoasa,51.69,442926,1960.0,2024-T1
255,apartament,Bulevard,BASARABIA,vatra luminoasa,27.42,218816,1954.0,2024-T1
256,apartament,Bulevard,BASARABIA,pantelimon,51.9,350832,1982.0,2024-T2
257,apartament,Bulevard,BASARABIA,pantelimon,49.65,373267,1985.0,2024-T1
258,apartament,Bulevard,BASARABIA,pantelimon,28.7,240000,1983.0,2024-T1
260,apartament,Bulevard,BASARABIA,pantelimon,41.6,194404,1964.0,2024-T2
261,apartament,Bulevard,BASARABIA,pantelimon,43.24,290189,1964.0,2024-T3
262,apartament,Bulevard,BASARABIA,pantelimon,46.32,298344,1972.0,2024-T1
263,apartament,Bulevard,BASARABIA,pantelimon,49.03,358358,1974.0,2024-T3
265,apartament,Bulevard,BASARABIA,pantelimon,46.8,348194,1975.0,2024-T3
266,apartament,Bulevard,BASARABIA,pantelimon,47.1,403088,1975.0,2024-T4
267,apartament,Bulevard,BASARABIA,pantelimon,47.57,308530,1975.0,2024-T2
268,apartament,Bulevard,BASARABIA,pantelimon,49.16,328435,1975.0,2024-T2
269,apartament,Bulevard,BASARABIA,pantelimon,49.89,389628,1975.0,2024-T2
270,apartament,Bulevard,BASARABIA,pantelimon,49.97,358351,1975.0,2024-T4
271,casa,Bulevard,BASARABIA,vatra luminoasa,51.005,388135,2003.0,2024-T3
273,apartament,Bulevard,BASARABIA,pantelimon,46.4,235000,1975.0,2024-T4
274,apartament,Bulevard,BASARABIA,pantelimon,46.5,275000,1975.0,2024-T4
275,apartament,Bulevard,BASARABIA,pantelimon,43.11,303060,1964.0,2024-T2
276,apartament,Bulevard,BASARABIA,pantelimon,76.88,617086,1970.0,2024-T4
277,apartament,Bulevard,BASARABIA,pantelimon,72.6,472768,1970.0,2024-T3
278,apartament,Bulevard,BASARABIA,pantelimon,59.52,348391,1968.0,2024-T2
280,apartament,Bulevard,BASARABIA,pantelimon,43.95,358171,1964.0,2024-T2
281,apartament,Bulevard,BASARABIA,pantelimon,44.65,278376,1966.0,2024-T2
282,apartament,Bulevard,BASARABIA,pantelimon,45.0,378077,1967.0,2024-T4
283,apartament,Bulevard,BASARABIA,pantelimon,48.12,308009,1964.0,2024-T3
284,apartament,Bulevard,BASARABIA,pantelimon,55.5,380067,2012.0,2024-T2
285,apartament,Bulevard,BASARABIA,vatra luminoasa,43.81,140502,1963.0,2024-T3
287,apartament,Bulevard,BASARABIA,vatra luminoasa,44.03,487736,1963.0,2024-T4
288,apartament,Bulevard,BASARABIA,pantelimon,39.24,248825,1967.0,2024-T3
290,apartament,Bulevard,BASARABIA,pantelimon,24.02,131824,1971.0,2024-T2
292,apartament,Bulevard,BASARABIA,pantelimon,14.09,109463,1969.0,2024-T2
293,apartament,Bulevard,BASARABIA,pantelimon,26.21,191460,1967.0,2024-T3
294,apartament,Bulevard,BASARABIA,vatra luminoasa,43.49,298608,1962.0,2024-T3
295,apartament,Bulevard,BASARABIA,vatra luminoasa,43.96,330000,1962.0,2024-T3
296,apartament,Bulevard,BASARABIA,vatra luminoasa,44.84,112434,1963.0,2024-T2
297,apartament,Bulevard,BASARABIA,vatra luminoasa,62.27,323463,1962.0,2024-T4
298,apartament,Bulevard,BASARABIA,vatra luminoasa,66.7,328119,1962.0,2024-T1
299,apartament,Bulevard,BASARABIA,vatra luminoasa,61.76,363043,1962.0,2024-T4
300,apartament,Bulevard,BASARABIA,pantelimon,74.53,388135,1991.0,2024-T3
301,apartament,Bulevard,BASARABIA,pantelimon,56.3,377803,1987.0,2024-T1
302,apartament,Bulevard,BASARABIA,pantelimon,65.68,542373,1985.0,2024-T1
303,apartament,Bulevard,BASARABIA,pantelimon,72.65,521755,2018.0,2024-T1
304,apartament,Bulevard,BASARABIA,pantelimon,74.6,497590,1993.0,2024-T4
305,apartament,Bulevard,BASARABIA,pantelimon,75.72,457148,1987.0,2024-T1
306,apartament,Bulevard,BASARABIA,vatra luminoasa,42.75,363313,1963.0,2024-T3
307,apartament,Bulevard,BASARABIA,vatra luminoasa,48.9,363029,1963.0,2024-T1
308,apartament,Bulevard,BASARABIA,vatra luminoasa,49.24,310000,1962.0,2024-T3
309,apartament,Bulevard,BASARABIA,pantelimon,63.6,472650,1986.0,2024-T1
310,apartament,Bulevard,BASARABIA,pantelimon,69.59,544883,1987.0,2024-T4
311,apartament,Bulevard,BASARABIA,vatra luminoasa,42.95,286193,1963.0,2024-T1
312,apartament,Bulevard,BASARABIA,vatra luminoasa,42.33,307312,1962.0,2024-T1
313,apartament,Bulevard,BASARABIA,vatra luminoasa,43.11,326789,1963.0,2024-T4
314,apartament,Bulevard,BASARABIA,vatra luminoasa,46.47,310000,1960.0,2024-T2
315,apartament,Bulevard,BASARABIA,pantelimon,24.9,179175,1987.0,2024-T4
316,apartament,Bulevard,BASARABIA,pantelimon,80.63,388135,1988.0,2024-T3
317,apartament,Bulevard,BASARABIA,vatra luminoasa,65.93,397653,1962.0,2024-T1
318,apartament,Bulevard,BASARABIA,vatra luminoasa,41.68,304500,1962.0,2024-T4
319,apartament,Bulevard,BASARABIA,vatra luminoasa,43.9,263791,1964.0,2024-T3
320,apartament,Bulevard,BASARABIA,vatra luminoasa,44.08,333178,1964.0,2024-T3
321,apartament,Bulevard,BASARABIA,vatra luminoasa,60.64,388135,1958.0,2024-T4
322,apartament,Bulevard,BASARABIA,vatra luminoasa,79.75,482478,1958.0,2024-T1
323,apartament,Bulevard,BASARABIA,vatra luminoasa,51.42,425063,1959.0,2024-T1
324,apartament,Bulevard,BASARABIA,vatra luminoasa,48.5,378252,1958.0,2024-T1
325,apartament,Bulevard,BASARABIA,vatra luminoasa,32.39,237500,1952.0,2024-T4
326,apartament,Bulevard,BASARABIA,vatra luminoasa,80.3,582284,1958.0,2024-T2
327,apartament,Bulevard,BASARABIA,vatra luminoasa,78.09,388135,2007.0,2024-T1
328,apartament,Bulevard,BASARABIA,vatra luminoasa,82.3,388135,2007.0,2024-T2
329,apartament,Bulevard,CAROL I,centrala,31.56,422734,1960.0,2024-T4
330,apartament,Bulevard,CAROL I,centrala,45.84,622050,1962.0,2024-T4
331,apartament,Bulevard,CAROL I,centrala,60.19,599450,1940.0,2024-T4
332,apartament,Bulevard,CAROL I,centrala,76.04,557312,2000.0,2024-T2
334,apartament,Bulevard,CAROL I,centrala,82.5,372942,1929.0,2024-T4
335,apartament,Bulevard,CAROL I,centrala,87.35,248760,1940.0,2024-T3
337,apartament,Bulevard,CAROL I,centrala,51.005,499656,1938.0,2024-T4
338,apartament,Bulevard,CAROL I,centrala,19.65,293104,1944.0,2024-T2
339,apartament,Bulevard,CAROL I,centrala,19.7,149028,1939.0,2024-T4
340,apartament,Bulevard,CAROL I,centrala,19.74,164158,1927.0,2024-T2
341,apartament,Bulevard,CAROL I,centrala,67.83,596544,1984.0,2024-T1
342,apartament,Bulevard,CAROL I,centrala,37.3,139000,2020.0,2024-T1
343,apartament,Bulevard,CAROL I,centrala,81.3,300000,1939.0,2024-T1
344,apartament,Bulevard,CAROL I,centrala,47.83,273565,1941.0,2024-T1
345,apartament,Bulevard,CAROL I,centrala,38.7,200000,1939.0,2024-T2
347,apartament,Bulevard,CHISINAU,pantelimon,34.18,218548,1982.0,2024-T2
348,apartament,Bulevard,CHISINAU,pantelimon,81.09,596148,1984.0,2024-T1
349,apartament,Bulevard,CHISINAU,pantelimon,33.64,237297,1984.0,2024-T2
350,apartament,Bulevard,CHISINAU,pantelimon,66.11,417539,1981.0,2024-T2
351,apartament,Bulevard,CHISINAU,pantelimon,49.74,300500,1978.0,2024-T2
352,apartament,Bulevard,CHISINAU,pantelimon,50.65,422637,1983.0,2024-T3
353,apartament,Bulevard,CHISINAU,pantelimon,51.09,427704,1981.0,2024-T4
